ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,SAAddressLine1,SAAddressLine2,SAAddressLine3,SAAddressLine4,SACity,SARegion,SAPostalCode,SACountry,InvoiceNumber,Reference,InvoiceDate,DueDate,PlannedDate,Total,TaxTotal,InvoiceAmountPaid,InvoiceAmountDue,InventoryItemCode,Description,Quantity,UnitAmount,Discount,LineAmount,AccountCode,TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,Type,Sent,Status,GBP rate,LineAmountGBP,Period,Channel,Country,Region
On Fleek New York,naderanaizi@gmail.com,213 Man O War CT,,,,Canton,GA,30115,US,213 Man O War CT,,,,Canton,GA,30115,US,INV-2687,745492,2/26/2024,3/27/2024,,8168.16,0,8168.16,0,PXB004,HUE HD Pro Camera (Black) (24x) (full carton),4,1726.92,,6907.68,4118,Tax Exempt,0,,,,,USD,Sales invoice,Sent,Paid,1.2625,5471.429703,Feb-24,Direct,United States,US
On Fleek New York,naderanaizi@gmail.com,213 Man O War CT,,,,Canton,GA,30115,US,213 Man O War CT,,,,Canton,GA,30115,US,INV-2687,745492,2/26/2024,3/27/2024,,8168.16,0,8168.16,0,PX0004,HUE HD Pro Camera (Black),4,79.95,,319.8,4118,Tax Exempt,0,,,,,USD,Sales invoice,Sent,Paid,1.2625,253.3069307,Feb-24,Direct,United States,US
On Fleek New York,naderanaizi@gmail.com,213 Man O War CT,,,,Canton,GA,30115,US,213 Man O War CT,,,,Canton,GA,30115,US,INV-2687,745492,2/26/2024,3/27/2024,,8168.16,0,8168.16,0,Delivery,Shipping,1,940.68,,940.68,4700,Tax Exempt,0,,,,,USD,Sales invoice,Sent,Paid,1.2625,745.0930693,Feb-24,Direct,United States,US
On Fleek New York,naderanaizi@gmail.com,213 Man O War CT,,,,Canton,GA,30115,US,213 Man O War CT,,,,Canton,GA,30115,US,INV-2687,745492,2/26/2024,3/27/2024,,8168.16,0,8168.16,0,,"Delivery address:Rhoida AbdelmalikAramex Building, 184 Airport RoadPOBOX 35962, TIP 359474Umm RamoolUnited Arab Emirates",0,0,,0,,,0,,,,,USD,Sales invoice,Sent,Paid,1.2625,0,Feb-24,Direct,United States,US
On Fleek New York,naderanaizi@gmail.com,213 Man O War CT,,,,Canton,GA,30115,US,213 Man O War CT,,,,Canton,GA,30115,US,INV-2687,745492,2/26/2024,3/27/2024,,8168.16,0,8168.16,0,,naderanaizi@gmail.comPhone: 5858020638,0,0,,0,,,0,,,,,USD,Sales invoice,Sent,Paid,1.2625,0,Feb-24,Direct,United States,US
Education 2000,dpennekamp@earthlink.net,5419 Saxon Drive,,,,Houston,TX,77092,US,,,,,,,,,INV-2686,QU-1332,2/23/2024,3/24/2024,,1660.59,0,1660.59,0,PXB004,HUE HD Pro Camera (Black) (24x) (full carton),1,1918.8,20,1535.04,4118,Tax Exempt,0,,,,,USD,Sales invoice,Sent,Paid,1.2625,1215.873267,Feb-24,Direct,United States,US
Education 2000,dpennekamp@earthlink.net,5419 Saxon Drive,,,,Houston,TX,77092,US,,,,,,,,,INV-2686,QU-1332,2/23/2024,3/24/2024,,1660.59,0,1660.59,0,Delivery,Shipping,1,125.55,,125.55,4700,Tax Exempt,0,,,,,USD,Sales invoice,Sent,Paid,1.2625,99.44554455,Feb-24,Direct,United States,US
Education 2000,dpennekamp@earthlink.net,5419 Saxon Drive,,,,Houston,TX,77092,US,,,,,,,,,INV-2686,QU-1332,2/23/2024,3/24/2024,,1660.59,0,1660.59,0,,"Delivery address:Education 20005419 Saxon DriveHouston, TX 77092Tel: 832-654-5308",0,0,,0,,,0,,,,,USD,Sales invoice,Sent,Paid,1.2625,0,Feb-24,Direct,United States,US
St. Raphael School,lstenger@saintraphaelparish.com,St. Raphael School,525 Dover Center Rd,,,Bay Village,OH,44140,US,,,,,,,,,INV-2685,745430 (PO 2402080),2/20/2024,3/21/2024,,179.99,0,0,179.99,IN0010,HUE Intuition Software - 10 User License,1,179.99,,179.99,4300,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Awaiting Payment,1.2625,142.5663366,Feb-24,Direct,United States,US
Insight School of Washington,dbales@k12insightwa.org,2601 South 35th Street,Suite 100,,,Tacoma,WA,98409,US,,,,,,,,,INV-2684,745424 (PO 021424),2/19/2024,3/20/2024,,466.46,0,0,466.46,PX0001,HUE HD Pro Camera (Blue),1,79.95,,79.95,4100,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Awaiting Payment,1.2625,63.32673267,Feb-24,Direct,United States,US
Insight School of Washington,dbales@k12insightwa.org,2601 South 35th Street,Suite 100,,,Tacoma,WA,98409,US,,,,,,,,,INV-2684,745424 (PO 021424),2/19/2024,3/20/2024,,466.46,0,0,466.46,PX0002,HUE HD Pro Camera (Red),2,79.95,,159.9,4100,Tax Exempt,0,,,,,USD,Sales invoice,Viewed,Awaiting Payment,1.2625,126.6534653,Feb-24,Direct,United States,US
